Username,TweetId,Title,Content
SenSanders,1351670845639421952,SenSanders_1351670845639421952,"Wealth increase in past 10 months:
⬆️$173 billion: Elon Musk
⬆️$77 billion: Jeff Bezos
⬆️$60 billion: Walton family
⬆️$43 billion: Bill Gates
⬆️$39 billion: Mark Zuckerberg

12-year increase in U.S. minimum wage: $0

We must tax the rich &amp; raise the minimum wage to at least $15."
SenSanders,1351259762722279424,SenSanders_1351259762722279424,"Amidst massive income and wealth inequality tens of millions of Americans are working for starvation wages. We need to raise the minimum wage to a living wage, at least $15 an hour. No more excuses. We need to act NOW."
SenSanders,1351242822293319680,SenSanders_1351242822293319680,"“We now have the resources, we now have the skills, we now have the techniques to get rid of poverty. And the question is whether our nation has the will.” — Dr. Martin Luther King, Jr. https://t.co/X03VKsfNVX"
SenSanders,1350885541911400448,SenSanders_1350885541911400448,"After surviving an attempt on his life, Russian activist Alexei Navalny has been detained after bravely returning to Russia today. I call for his release.

The United States must stand with those fighting corruption and working for democracy around the world."
SenSanders,1349880150041780224,SenSanders_1349880150041780224,"President-Elect Biden's COVID rescue plan will begin to provide our people with much-needed support, such as $2,000 direct payments and a $15 minimum wage.

I look forward to working with him and my colleagues in Congress to urgently provide bold relief to working families. https://t.co/i8wS5180bB"
SenSanders,1349746485261434880,SenSanders_1349746485261434880,"Veterans Affairs' single-payer program pays half as much as Medicare for the exact same drugs.

There's absolutely no reason for this—other than greed.

Congress must take on the pharmaceutical industry and make Medicare negotiate lower drug prices NOW. https://t.co/naANAW2Cvg"
SenSanders,1349394907379720192,SenSanders_1349394907379720192,"No mother should have to go through this. 

A vial of insulin costs about $5 to make. Yet people with diabetes are dying because drug companies charge as much as $540 per vial in the U.S. https://t.co/iRd8n2AA27"
SenSanders,1349033160277979136,SenSanders_1349033160277979136,"In the past, Republicans used budget reconciliation to pass massive tax breaks for the rich and large corporations with a simple majority vote.

As the incoming Chairman of the Budget Committee, I will fight to use the same process to boldly address the needs of working families."
SenSanders,1348822359369797632,SenSanders_1348822359369797632,"If Wall Street really believed in defending our democracy, they would commit to never making another campaign donation—period. https://t.co/lrMFRgTuR7"
SenSanders,1348350941012123648,SenSanders_1348350941012123648,The death penalty is cruel and unusal punishment. It must be abolished. https://t.co/8dllgOX4da
SenSanders,1348253256330276864,SenSanders_1348253256330276864,"Wealth of Elon Musk on March 18, 2020: $24.5 billion
Wealth of Elon Musk on January 9, 2021: $209 billion

U.S. minimum wage in 2009: $7.25 an hour
U.S. minimum wage in 2021: $7.25 an hour

Our job: Raise the minimum wage to at least $15, tax the rich &amp; create an economy for all."
SenSanders,1347610005810384896,SenSanders_1347610005810384896,"140,000 workers lost their jobs last month &amp; real unemployment is close to 12%. Millions more face hunger, eviction &amp; crushing debt. In the midst of this economic desperation, Congress must act boldly &amp; aggressively. As the next Budget Committee Chair, that's what I intend to do."
SenSanders,1346196146637705216,SenSanders_1346196146637705216,"It is an outrage that over 1 million workers who lost jobs during the pandemic haven't received the benefits they earned and deserve. We must make it easier, not harder, for workers to receive these benefits. And, yes, the working class needs $2,000 a month until the crisis ends."
SenSanders,1345834999707299840,SenSanders_1345834999707299840,"No, Donald Trump, there are no votes for you to find. The American people have spoken and at 12:01 pm on January 20, you will no longer be president."
SenSanders,1345494521489055744,SenSanders_1345494521489055744,"Joe Biden will be President at noon on January 20. Republican attempts to overturn the election only demonstrate their disdain for voters, democracy and the will of the American people. https://t.co/CPvltdCom1"
